title,Journal,category
QuantumScape Reports Fourth Quarter 2022 Business and ...,Yahoo Finance,finance
Personal Finance Tips for the Year of the Rabbit,Kiplinger's Personal Finance,finance
Charlie Munger: 'I'm not proud of my country' for allowing 'crypto sh-t',Yahoo Finance,finance
BofA Says Hard Landing to Hit Stocks in Second Half,Yahoo Finance,finance
The financial system is alarmingly vulnerable to cyber attack,Financial Times,finance
5 Predictions For Corporate Finance In 2023,Forbes,finance
Ohio train derailment: Expert calls out officials for not being ‘forthright and transparent enough’,Yahoo Finance,finance
"Bitcoin touches $25,000 for first time since August as 2023 crypto rally continues",Yahoo Finance,finance
4 misleading personal finance tips,Big Think,finance
Personal Finance: Treasury Bill Rates at 5% Are No Bargain,Bloomberg,finance
Shein gives investors lofty revenue projections as it prepares for IPO,Financial Times,finance
"Germans worry about inflation, say it causes financial pain",survey,finance
Boeing to slash about 2000 white-collar jobs in finance and HR,The Seattle Times,finance
The exec who saved Domino's Pizza is staking $30 million to revive the Whopper,Yahoo Finance,finance
Sec. Pete Buttigieg to Tesla Full Self-Driving fans: Keep your hands ...,Yahoo Finance,finance
Motor & General Finance reports consolidated net loss of Rs 0.47 crore in the December 2022 quarter,Business Standard,finance
Improving patient safety shouldn't be a financial calculation,STAT,finance
YouTube CEO Susan Wojcicki stepping down,Yahoo Finance,finance
How to Finance Your Investment Property & Make Money,Yahoo Finance,finance
Federal Funds to Benefit Homeless in Prince of Wales,Alaska Housing Finance Corporation,finance
